"Organização - Nome","Organização - Atividade econômica","Organização - Negócios em aberto","Organização - Pessoas","Organização - Negócios ganhos","Organização - Negócios perdidos","Organização - Tipo","Organização - Atividades concluídas","Organização - Número de mensagens de e-mail","Organização - Cidade (sede do MKT)","Organização - # Pessoas no MKT","Organização - Investimento MKT (ano)","Organização - UF","Organização - Canal","Organização - Porte","Organização - Nível de satisfação"
"Brivia (RS)","Outros","1","4","73","34","agência","39","15","Novo Hamburgo","0","R$ 100 a 999 Mil","Rio Grande do Sul","","",""
"Bronx (PR)","","1","1","0","0","","1","0","","0","","","","",""
"Bruce (RS)","","0","1","0","0","agência","0","0","","0","","","","",""
"BS Autocenter","","0","1","0","1","","2","0","","0","","","","",""
"BTG","","0","0","0","0","","0","0","","0","","","","",""
"Bureau Multimídia","","0","1","0","2","","2","0","","0","","","","",""
"Burnell","","1","1","0","0","","1","0","","0","","","","",""
"Buscapé","","0","0","0","0","","0","0","","0","","","","",""
"BVZ","","1","1","0","1","","0","0","","0","","","","",""
"Cadastra (RS)","","0","7","5","12","agência","1","5","Porto Alegre","0","","","","",""
"Café do Ponto","","0","0","0","1","","2","0","","0","","","","",""
"Café do Ponto","","0","0","0","0","","0","0","","0","","","","",""
"CalCenter","","0","0","1","0","","0","0","","0","","","","",""
"Calumma Comunicação (SC)","","1","2","0","0","","3","0","","0","","","","",""
"Camicado","","0","0","0","0","","0","0","","0","","","","",""
"Campanha Outbrain Ebook - Virtueyes - Pronexo","","0","0","0","1","","0","0","","0","","","","",""
"Candidata","","0","1","0","0","outro","0","0","","0","","","","",""
"Candidata","","0","0","0","0","outro","0","0","","0","","","","",""
"Candy Shop (PR)","","0","0","0","2","","2","0","","0","","","","",""
"Capemisa Seguros","","1","0","0","0","","0","0","","0","","","","",""
"Capodarte","","0","0","0","0","","0","0","","0","","","","",""
"Car House","","1","0","0","0","","0","0","","0","","","","",""
"Carburgo Veículos","Automotivo","0","1","0","1","anunciante","5","0","Novo Hamburgo","0","","Rio Grande do Sul","direto","",""
